action step xA yA dirA xB yB dirB
[Move] 594 4 3 0 4 3 2
[Move] 595 3 3 3 4 4 2
[Move] 596 2 3 3 4 3 0
[Move] 597 1 3 3 3 3 3
[Move] 598 2 3 1 2 3 3
[Move] 599 2 2 0 2 4 2
[Move] 600 2 3 2 3 4 1
[Move] 601 3 3 1 3 3 0
[Move] 602 3 2 0 4 3 1
[Move] 603 4 2 1 3 3 3
[Move] 604 4 1 0 3 2 0
[Move] 605 3 1 3 3 3 2
[Move] 606 4 1 1 4 3 1
[Move] 607 4 2 2 4 4 2
[Move] 608 3 2 3 4 3 0
[Move] 609 3 1 0 4 2 0
[Move] 610 3 2 2 4 3 2
[Move] 611 3 3 2 4 4 2
[Move] 612 3 2 0 3 4 3
[Move] 613 2 2 3 4 4 1
[Move] 614 2 3 2 3 4 3
[Move] 615 2 2 0 4 4 1
[Move] 616 2 3 2 3 4 3
[Move] 617 1 3 3 4 4 1
[Move] 618 1 4 2 4 3 0
[Move] 619 1 3 0 3 3 3
[Move] 620 2 3 1 3 4 2
[Move] 621 1 3 3 3 3 0
[Move] 622 1 2 0 4 3 1
[Move] 623 2 2 1 4 4 2
[Move] 624 2 1 0 4 3 0
[Move] 625 2 2 2 4 4 2
[Move] 626 1 2 3 3 4 3
[Move] 627 2 2 1 4 4 1
[Move] 628 1 2 3 4 3 0
[Move] 629 1 1 0 4 4 2
[Move] 630 1 2 2 3 4 3
[Move] 631 1 3 2 3 3 0
[Move] 632 2 3 1 4 3 1
[Move] 633 3 3 1 4 2 0
[Move] 634 2 3 3 4 1 0
[Move] 635 3 3 1 3 1 3
[Move] 636 3 2 0 4 1 1
[Move] 637 3 1 0 4 2 2
[Move] 638 4 1 1 4 1 0
[Move] 639 3 1 3 4 2 2
[Move] 640 3 2 2 3 2 3
[Move] 641 2 2 3 2 2 3
[Move] 642 2 1 0 3 2 1
[Move] 643 1 1 3 4 2 1
[Move] 644 2 1 1 4 1 0
[Move] 645 2 2 2 3 1 3
[Move] 646 2 1 0 3 2 2
[Move] 647 2 2 2 3 3 2
[Move] 648 3 2 1 2 3 3
[Move] 649 4 2 1 3 3 1
[Move] 650 4 3 2 3 2 0
[Move] 651 4 4 2 3 3 2
[Move] 652 4 3 0 4 3 1
[Move] 653 3 3 3 3 3 3
[Move] 654 3 4 2 3 4 2
[Move] 655 2 4 3 2 4 3
[Move] 656 1 4 3 2 3 0
[Move] 657 1 3 0 1 3 3
[Move] 658 2 3 1 1 2 0
[Move] 659 2 2 0 1 3 2
[Move] 660 3 2 1 2 3 1
[Move] 661 3 3 2 2 4 2
[Move] 662 3 4 2 1 4 3
[Move] 663 2 4 3 2 4 1
[Move] 664 2 3 0 2 3 0
[Move] 665 3 3 1 2 4 2
[Move] 666 2 3 3 1 4 3
[Move] 667 2 4 2 1 3 0
[Move] 668 1 4 3 1 2 0
[Move] 669 1 3 0 2 2 1
[Move] 670 1 4 2 2 3 2
[Move] 671 2 4 1 2 2 0
[Move] 672 1 4 3 2 1 0
[Move] 673 1 3 0 2 2 2
[Move] 674 2 3 1 3 2 1
[Move] 675 2 4 2 3 3 2
[Move] 676 3 4 1 4 3 1
[Move] 677 3 3 0 4 2 0
[Move] 678 4 3 1 3 2 3
[Move] 679 4 4 2 3 1 0
[Move] 680 3 4 3 4 1 1
[Move] 681 2 4 3 4 2 2
[Move] 682 1 4 3 4 1 0
[Move] 683 2 4 1 3 1 3
[Move] 684 2 3 0 2 1 3
[Move] 685 2 2 0 2 2 2
[Move] 686 1 2 3 3 2 1
[Move] 687 1 3 2 3 3 2
[Move] 688 2 3 1 2 3 3
[Move] 689 2 4 2 2 4 2
[Move] 690 1 4 3 1 4 3
[Move] 691 1 3 0 1 3 0
[Move] 692 1 4 2 2 3 1
[Move] 693 2 4 1 3 3 1
[Move] 694 3 4 1 3 4 2
[Move] 695 4 4 1 4 4 1
[Move] 696 3 4 3 4 3 0
[Move] 697 4 4 1 3 3 3
[Move] 698 4 3 0 3 2 0
[Move] 699 4 2 0 4 2 1
[Move] 700 4 3 2 3 2 3
[Move] 701 3 3 3 4 2 1
[Move] 702 3 2 0 4 1 0
[Move] 703 3 3 2 4 2 2
[Move] 704 3 4 2 4 1 0
[Move] 705 4 4 1 3 1 3
[Move] 706 4 3 0 3 2 2
[Move] 707 3 3 3 4 2 1
[Move] 708 3 2 0 4 3 2
[Move] 709 4 2 1 4 4 2
[Move] 710 4 3 2 3 4 3
[Move] 711 4 2 0 3 3 0
[Move] 712 4 3 2 4 3 1
[Move] 713 4 4 2 4 4 2
[Move] 714 3 4 3 4 3 0
[Move] 715 3 3 0 4 4 2
[Move] 716 2 3 3 3 4 3
[Move] 717 2 4 2 3 3 0
[Move] 718 3 4 1 2 3 3
[Move] 719 3 3 0 1 3 3
[Move] 720 4 3 1 1 2 0
[Move] 721 3 3 3 1 1 0
[Move] 722 3 4 2 2 1 1
[Move] 723 3 3 0 3 1 1
[Move] 724 2 3 3 3 2 2
[Move] 725 2 4 2 3 3 2
[Move] 726 2 3 0 2 3 3
[Move] 727 1 3 3 2 2 0
[Move] 728 1 2 0 2 1 0
[Move] 729 1 3 2 1 1 3
[Move] 730 1 4 2 1 2 2
[Move] 731 1 3 0 2 2 1
[Move] 732 2 3 1 1 2 3
